Blocksize,Sampling Rate,Number of Avg,Number of Channels,Coh
500.000,1000.000,1.000,2.000
waveform,[0,0],[0,1]
t0,9/5/2021  23:48:35.733530,9/5/2021  23:48:35.733530
delta t,0.001000,0.001000

time,Y[0,0],Y[0,1]
9/5/2021  23:48:35.733530,-1.496262E-1,4.417476E-1
9/5/2021  23:48:35.734530,-8.896258E-2,5.183305E-1
9/5/2021  23:48:35.735530,3.159645E-2,4.227063E-1
9/5/2021  23:48:35.736530,-3.577325E-2,5.505691E-1
9/5/2021  23:48:35.737530,1.090389E-1,5.087987E-1
9/5/2021  23:48:35.738530,-8.253313E-2,5.455352E-1
9/5/2021  23:48:35.739530,8.143150E-2,4.449488E-1
9/5/2021  23:48:35.740530,-3.747262E-2,2.984200E-1
9/5/2021  23:48:35.741530,-9.820292E-2,4.062980E-1
9/5/2021  23:48:35.742530,-7.838350E-2,3.497667E-1
9/5/2021  23:48:35.743530,1.770261E-1,4.367409E-1
9/5/2021  23:48:35.744530,-8.075966E-2,3.074701E-1
9/5/2021  23:48:35.745530,-1.107629E-1,4.224691E-1
9/5/2021  23:48:35.746530,4.910887E-2,4.834958E-1
9/5/2021  23:48:35.747530,7.318659E-2,4.973279E-1
9/5/2021  23:48:35.748530,-5.442434E-2,5.171276E-1
9/5/2021  23:48:35.749530,3.398743E-2,4.268855E-1
9/5/2021  23:48:35.750530,-8.109064E-2,5.065905E-1
9/5/2021  23:48:35.751530,1.398400E-1,5.680989E-1
9/5/2021  23:48:35.752530,6.385734E-2,4.209303E-1
9/5/2021  23:48:35.753530,1.737311E-1,5.513768E-1
9/5/2021  23:48:35.754530,2.007555E-1,6.141177E-1
9/5/2021  23:48:35.755530,7.884046E-2,3.821338E-1
9/5/2021  23:48:35.756530,5.870488E-2,4.130584E-1
9/5/2021  23:48:35.757530,1.818006E-1,4.083703E-1
9/5/2021  23:48:35.758530,1.600719E-1,6.016145E-1
9/5/2021  23:48:35.759530,2.282592E-1,6.514545E-1
9/5/2021  23:48:35.760530,1.157178E-1,4.723067E-1
9/5/2021  23:48:35.761530,1.518072E-2,4.467889E-1
9/5/2021  23:48:35.762530,1.904062E-1,3.677558E-1
9/5/2021  23:48:35.763530,5.416993E-2,3.914482E-1
9/5/2021  23:48:35.764530,1.476181E-1,3.835540E-1
9/5/2021  23:48:35.765530,-4.985975E-2,6.453560E-1
9/5/2021  23:48:35.766530,3.331805E-2,4.546164E-1
9/5/2021  23:48:35.767530,1.299698E-1,5.831314E-1
9/5/2021  23:48:35.768530,2.079285E-1,5.967535E-1
9/5/2021  23:48:35.769530,1.051733E-1,4.434421E-1
9/5/2021  23:48:35.770530,1.858589E-1,5.253997E-1
9/5/2021  23:48:35.771530,1.031751E-1,6.726374E-1
9/5/2021  23:48:35.772530,1.921648E-1,4.234028E-1
9/5/2021  23:48:35.773530,1.515923E-1,5.095175E-1
9/5/2021  23:48:35.774530,1.954252E-1,5.796659E-1
9/5/2021  23:48:35.775530,1.496904E-1,5.084084E-1
9/5/2021  23:48:35.776530,2.648105E-2,4.705653E-1
9/5/2021  23:48:35.777530,1.116052E-1,6.469270E-1
9/5/2021  23:48:35.778530,1.422359E-1,7.060888E-1
9/5/2021  23:48:35.779530,2.156151E-1,5.157888E-1
9/5/2021  23:48:35.780530,4.388972E-2,6.123418E-1
9/5/2021  23:48:35.781530,1.438093E-1,4.372398E-1
9/5/2021  23:48:35.782530,2.092129E-1,5.726486E-1
9/5/2021  23:48:35.783530,4.657957E-2,7.091096E-1
9/5/2021  23:48:35.784530,4.784916E-2,6.987998E-1
9/5/2021  23:48:35.785530,1.363869E-1,4.514054E-1
9/5/2021  23:48:35.786530,3.014507E-1,6.382770E-1
9/5/2021  23:48:35.787530,6.048082E-2,6.995260E-1
9/5/2021  23:48:35.788530,2.640596E-1,6.139942E-1
9/5/2021  23:48:35.789530,7.800806E-2,4.957743E-1
9/5/2021  23:48:35.790530,2.688045E-1,5.880097E-1
9/5/2021  23:48:35.791530,7.335702E-2,5.996261E-1
9/5/2021  23:48:35.792530,2.493432E-1,5.731476E-1
9/5/2021  23:48:35.793530,1.166564E-1,6.251118E-1
9/5/2021  23:48:35.794530,2.405006E-1,6.842637E-1
9/5/2021  23:48:35.795530,2.554466E-1,6.031163E-1
9/5/2021  23:48:35.796530,2.408143E-1,5.914133E-1
9/5/2021  23:48:35.797530,7.636550E-2,7.513691E-1
9/5/2021  23:48:35.798530,3.244243E-1,6.344509E-1
9/5/2021  23:48:35.799530,1.548503E-1,6.141251E-1
9/5/2021  23:48:35.800530,1.665927E-1,7.297194E-1
9/5/2021  23:48:35.801530,1.522049E-1,6.154762E-1
9/5/2021  23:48:35.802530,1.417567E-1,7.765559E-1
9/5/2021  23:48:35.803530,1.525754E-1,7.064420E-1
9/5/2021  23:48:35.804530,2.364621E-1,5.465010E-1
9/5/2021  23:48:35.805530,2.977185E-1,7.425561E-1
9/5/2021  23:48:35.806530,1.916659E-1,6.440123E-1
9/5/2021  23:48:35.807530,2.471918E-1,5.119159E-1
9/5/2021  23:48:35.808530,2.378576E-1,5.580014E-1
9/5/2021  23:48:35.809530,3.344180E-1,6.908290E-1
9/5/2021  23:48:35.810530,2.818338E-1,5.651768E-1
9/5/2021  23:48:35.811530,3.402423E-1,5.458391E-1
9/5/2021  23:48:35.812530,1.236169E-1,7.347978E-1
9/5/2021  23:48:35.813530,1.878991E-1,7.972003E-1
9/5/2021  23:48:35.814530,1.825441E-1,6.187935E-1
9/5/2021  23:48:35.815530,1.418407E-1,7.408444E-1
9/5/2021  23:48:35.816530,3.531901E-1,7.363391E-1
9/5/2021  23:48:35.817530,2.859168E-1,7.511221E-1
9/5/2021  23:48:35.818530,1.847054E-1,5.733205E-1
9/5/2021  23:48:35.819530,1.124129E-1,5.513003E-1
9/5/2021  23:48:35.820530,3.568408E-1,7.918058E-1
9/5/2021  23:48:35.821530,1.811856E-1,5.737181E-1
9/5/2021  23:48:35.822530,2.870159E-1,5.463306E-1
9/5/2021  23:48:35.823530,1.582268E-1,6.814281E-1
9/5/2021  23:48:35.824530,3.528023E-1,7.539404E-1
9/5/2021  23:48:35.825530,2.932107E-1,5.732809E-1
9/5/2021  23:48:35.826530,2.642350E-1,6.147155E-1
9/5/2021  23:48:35.827530,3.451255E-1,6.442593E-1
9/5/2021  23:48:35.828530,2.703087E-1,6.299011E-1
9/5/2021  23:48:35.829530,3.157052E-1,7.229615E-1
9/5/2021  23:48:35.830530,3.339907E-1,6.142536E-1
9/5/2021  23:48:35.831530,2.996673E-1,8.581158E-1
9/5/2021  23:48:35.832530,3.601976E-1,8.496536E-1
9/5/2021  23:48:35.833530,2.114952E-1,6.760065E-1
9/5/2021  23:48:35.834530,2.110555E-1,8.767842E-1
9/5/2021  23:48:35.835530,2.978247E-1,8.806424E-1
9/5/2021  23:48:35.836530,1.928861E-1,7.717986E-1
9/5/2021  23:48:35.837530,1.949955E-1,7.185747E-1
9/5/2021  23:48:35.838530,4.491725E-1,6.047934E-1
9/5/2021  23:48:35.839530,4.411449E-1,6.802771E-1
9/5/2021  23:48:35.840530,2.439907E-1,8.270010E-1
9/5/2021  23:48:35.841530,3.020583E-1,6.598822E-1
9/5/2021  23:48:35.842530,3.703049E-1,7.835411E-1
9/5/2021  23:48:35.843530,3.204081E-1,7.452139E-1
9/5/2021  23:48:35.844530,3.673162E-1,7.987317E-1
9/5/2021  23:48:35.845530,4.474460E-1,8.599609E-1
9/5/2021  23:48:35.846530,3.814817E-1,8.306048E-1
9/5/2021  23:48:35.847530,3.668172E-1,7.298825E-1
9/5/2021  23:48:35.848530,2.554145E-1,8.417223E-1
9/5/2021  23:48:35.849530,3.697145E-1,8.948845E-1
9/5/2021  23:48:35.850530,2.790748E-1,6.830485E-1
9/5/2021  23:48:35.851530,3.906702E-1,8.389287E-1
9/5/2021  23:48:35.852530,3.876740E-1,7.377742E-1
9/5/2021  23:48:35.853530,3.636630E-1,6.595092E-1
9/5/2021  23:48:35.854530,4.405842E-1,8.220165E-1
9/5/2021  23:48:35.855530,4.075107E-1,8.487471E-1
9/5/2021  23:48:35.856530,4.657908E-1,6.891519E-1
9/5/2021  23:48:35.857530,4.002810E-1,9.077459E-1
9/5/2021  23:48:35.858530,5.039723E-1,8.348458E-1
9/5/2021  23:48:35.859530,4.518451E-1,6.664080E-1
9/5/2021  23:48:35.860530,4.369089E-1,9.494126E-1
9/5/2021  23:48:35.861530,3.341167E-1,8.302219E-1
9/5/2021  23:48:35.862530,3.343982E-1,7.146474E-1
9/5/2021  23:48:35.863530,2.782523E-1,9.261920E-1
9/5/2021  23:48:35.864530,5.040884E-1,8.917822E-1
9/5/2021  23:48:35.865530,2.982224E-1,7.695707E-1
9/5/2021  23:48:35.866530,2.785981E-1,6.974857E-1
9/5/2021  23:48:35.867530,4.501235E-1,9.235145E-1
9/5/2021  23:48:35.868530,4.243933E-1,8.149918E-1
9/5/2021  23:48:35.869530,3.865946E-1,7.731349E-1
9/5/2021  23:48:35.870530,4.066067E-1,8.368688E-1
9/5/2021  23:48:35.871530,3.157694E-1,7.864137E-1
9/5/2021  23:48:35.872530,4.944084E-1,7.866632E-1
9/5/2021  23:48:35.873530,5.240510E-1,9.832172E-1
9/5/2021  23:48:35.874530,5.410868E-1,9.159982E-1
9/5/2021  23:48:35.875530,3.721352E-1,9.846844E-1
9/5/2021  23:48:35.876530,3.233227E-1,7.242039E-1
9/5/2021  23:48:35.877530,5.236805E-1,8.648516E-1
9/5/2021  23:48:35.878530,4.741172E-1,9.973087E-1
9/5/2021  23:48:35.879530,3.159423E-1,9.761604E-1
9/5/2021  23:48:35.880530,4.934550E-1,8.131023E-1
9/5/2021  23:48:35.881530,3.317751E-1,8.709747E-1
9/5/2021  23:48:35.882530,3.714954E-1,8.095430E-1
9/5/2021  23:48:35.883530,5.824002E-1,8.908016E-1
9/5/2021  23:48:35.884530,5.082825E-1,7.628078E-1
9/5/2021  23:48:35.885530,4.602406E-1,8.451828E-1
9/5/2021  23:48:35.886530,4.645582E-1,9.724480E-1
9/5/2021  23:48:35.887530,4.713285E-1,8.521458E-1
9/5/2021  23:48:35.888530,5.280352E-1,9.000765E-1
9/5/2021  23:48:35.889530,5.065065E-1,8.619814E-1
9/5/2021  23:48:35.890530,3.294187E-1,9.587863E-1
9/5/2021  23:48:35.891530,3.608669E-1,9.363388E-1
9/5/2021  23:48:35.892530,5.926829E-1,8.998641E-1
9/5/2021  23:48:35.893530,5.609407E-1,9.044805E-1
9/5/2021  23:48:35.894530,4.537988E-1,9.940137E-1
9/5/2021  23:48:35.895530,5.086406E-1,8.685319E-1
9/5/2021  23:48:35.896530,6.325391E-1,9.536511E-1
9/5/2021  23:48:35.897530,4.018272E-1,8.796667E-1
9/5/2021  23:48:35.898530,3.913692E-1,9.933715E-1
9/5/2021  23:48:35.899530,6.404259E-1,9.569807E-1
9/5/2021  23:48:35.900530,3.662886E-1,8.753343E-1
9/5/2021  23:48:35.901530,3.777421E-1,9.711388E-1
9/5/2021  23:48:35.902530,4.034846E-1,1.036493E+0
9/5/2021  23:48:35.903530,6.263196E-1,9.644328E-1
9/5/2021  23:48:35.904530,5.865474E-1,1.044555E+0
9/5/2021  23:48:35.905530,3.774877E-1,8.293006E-1
9/5/2021  23:48:35.906530,5.884839E-1,9.794999E-1
9/5/2021  23:48:35.907530,4.444103E-1,8.171309E-1
9/5/2021  23:48:35.908530,4.328457E-1,9.875570E-1
9/5/2021  23:48:35.909530,4.874923E-1,8.991305E-1
9/5/2021  23:48:35.910530,4.984963E-1,1.004588E+0
9/5/2021  23:48:35.911530,6.319735E-1,1.051333E+0
9/5/2021  23:48:35.912530,5.522438E-1,9.955821E-1
9/5/2021  23:48:35.913530,6.367678E-1,1.085412E+0
9/5/2021  23:48:35.914530,4.437854E-1,1.007268E+0
9/5/2021  23:48:35.915530,5.240955E-1,8.973051E-1
9/5/2021  23:48:35.916530,4.473595E-1,1.080733E+0
9/5/2021  23:48:35.917530,4.292765E-1,9.554987E-1
9/5/2021  23:48:35.918530,5.844627E-1,9.208246E-1
9/5/2021  23:48:35.919530,5.799006E-1,9.007878E-1
9/5/2021  23:48:35.920530,5.119183E-1,8.692902E-1
9/5/2021  23:48:35.921530,6.639528E-1,8.794938E-1
9/5/2021  23:48:35.922530,5.098460E-1,1.078496E+0
9/5/2021  23:48:35.923530,6.961692E-1,1.081934E+0
9/5/2021  23:48:35.924530,6.537664E-1,1.032593E+0
9/5/2021  23:48:35.925530,5.419957E-1,1.108002E+0
9/5/2021  23:48:35.926530,5.052345E-1,1.113064E+0
9/5/2021  23:48:35.927530,5.085468E-1,9.318335E-1
9/5/2021  23:48:35.928530,6.054653E-1,1.155400E+0
9/5/2021  23:48:35.929530,4.619079E-1,8.873584E-1
9/5/2021  23:48:35.930530,6.061865E-1,9.939519E-1
9/5/2021  23:48:35.931530,4.802058E-1,9.465325E-1
9/5/2021  23:48:35.932530,7.222847E-1,9.417037E-1
9/5/2021  23:48:35.933530,5.018085E-1,9.123846E-1
9/5/2021  23:48:35.934530,7.403553E-1,9.018697E-1
9/5/2021  23:48:35.935530,4.780099E-1,8.984339E-1
9/5/2021  23:48:35.936530,5.678247E-1,1.158210E+0
9/5/2021  23:48:35.937530,5.895015E-1,1.016617E+0
9/5/2021  23:48:35.938530,7.567908E-1,1.140918E+0
9/5/2021  23:48:35.939530,6.362293E-1,1.145371E+0
9/5/2021  23:48:35.940530,6.870400E-1,1.015031E+0
9/5/2021  23:48:35.941530,5.597477E-1,9.000048E-1
9/5/2021  23:48:35.942530,6.426958E-1,1.188127E+0
9/5/2021  23:48:35.943530,6.076463E-1,9.769977E-1
9/5/2021  23:48:35.944530,6.667266E-1,9.841904E-1
9/5/2021  23:48:35.945530,6.992814E-1,1.194213E+0
9/5/2021  23:48:35.946530,6.277473E-1,1.180673E+0
9/5/2021  23:48:35.947530,5.022680E-1,1.198864E+0
9/5/2021  23:48:35.948530,6.836018E-1,1.155382E+0
9/5/2021  23:48:35.949530,6.791607E-1,9.652306E-1
9/5/2021  23:48:35.950530,5.758745E-1,1.040368E+0
9/5/2021  23:48:35.951530,5.134769E-1,1.053805E+0
9/5/2021  23:48:35.952530,5.398888E-1,1.129376E+0
9/5/2021  23:48:35.953530,7.747627E-1,9.538166E-1
9/5/2021  23:48:35.954530,7.645714E-1,1.135946E+0
9/5/2021  23:48:35.955530,7.317202E-1,1.181100E+0
9/5/2021  23:48:35.956530,6.863336E-1,1.148943E+0
9/5/2021  23:48:35.957530,5.731426E-1,1.153070E+0
9/5/2021  23:48:35.958530,7.517001E-1,1.182503E+0
9/5/2021  23:48:35.959530,5.456711E-1,1.212753E+0
9/5/2021  23:48:35.960530,7.327279E-1,1.167083E+0
9/5/2021  23:48:35.961530,5.680272E-1,1.123675E+0
9/5/2021  23:48:35.962530,8.297823E-1,9.786773E-1
9/5/2021  23:48:35.963530,6.309212E-1,1.007562E+0
9/5/2021  23:48:35.964530,8.459831E-1,1.152969E+0
9/5/2021  23:48:35.965530,6.421425E-1,1.246682E+0
9/5/2021  23:48:35.966530,6.677492E-1,1.181266E+0
9/5/2021  23:48:35.967530,6.260973E-1,1.022644E+0
9/5/2021  23:48:35.968530,6.356859E-1,1.135264E+0
9/5/2021  23:48:35.969530,8.372121E-1,1.013722E+0
9/5/2021  23:48:35.970530,8.403317E-1,1.117280E+0
9/5/2021  23:48:35.971530,5.965806E-1,1.222357E+0
9/5/2021  23:48:35.972530,6.270927E-1,1.283011E+0
9/5/2021  23:48:35.973530,8.113263E-1,1.254773E+0
9/5/2021  23:48:35.974530,6.447632E-1,1.133607E+0
9/5/2021  23:48:35.975530,5.857076E-1,1.224775E+0
9/5/2021  23:48:35.976530,6.218044E-1,1.123961E+0
9/5/2021  23:48:35.977530,6.839377E-1,1.303299E+0
9/5/2021  23:48:35.978530,6.051787E-1,1.084105E+0
9/5/2021  23:48:35.979530,6.533984E-1,1.085753E+0
9/5/2021  23:48:35.980530,6.456771E-1,1.200505E+0
9/5/2021  23:48:35.981530,8.682429E-1,1.299100E+0
9/5/2021  23:48:35.982530,6.643381E-1,1.254237E+0
9/5/2021  23:48:35.983530,8.023157E-1,1.220331E+0
9/5/2021  23:48:35.984530,8.844018E-1,1.162906E+0
9/5/2021  23:48:35.985530,8.910535E-1,1.228482E+0
9/5/2021  23:48:35.986530,6.629030E-1,1.223078E+0
9/5/2021  23:48:35.987530,7.915440E-1,1.161735E+0
9/5/2021  23:48:35.988530,9.065998E-1,1.200240E+0
9/5/2021  23:48:35.989530,8.002705E-1,1.201952E+0
9/5/2021  23:48:35.990530,7.062963E-1,1.163049E+0
9/5/2021  23:48:35.991530,7.377964E-1,1.057896E+0
9/5/2021  23:48:35.992530,8.743019E-1,1.108808E+0
9/5/2021  23:48:35.993530,6.598204E-1,1.169627E+0
9/5/2021  23:48:35.994530,8.189685E-1,1.077026E+0
9/5/2021  23:48:35.995530,7.040535E-1,1.105461E+0
9/5/2021  23:48:35.996530,8.410628E-1,1.197941E+0
9/5/2021  23:48:35.997530,8.320572E-1,1.273792E+0
9/5/2021  23:48:35.998530,7.861667E-1,1.272876E+0
9/5/2021  23:48:35.999530,7.757433E-1,1.321197E+0
9/5/2021  23:48:36.000530,8.374591E-1,1.133305E+0
9/5/2021  23:48:36.001530,9.476416E-1,1.339176E+0
9/5/2021  23:48:36.002530,7.833237E-1,1.375560E+0
9/5/2021  23:48:36.003530,7.244138E-1,1.350983E+0
9/5/2021  23:48:36.004530,8.441652E-1,1.217834E+0
9/5/2021  23:48:36.005530,8.630386E-1,1.300718E+0
9/5/2021  23:48:36.006530,6.927334E-1,1.176778E+0
9/5/2021  23:48:36.007530,7.589076E-1,1.216345E+0
9/5/2021  23:48:36.008530,9.524408E-1,1.310060E+0
9/5/2021  23:48:36.009530,9.053722E-1,1.368765E+0
9/5/2021  23:48:36.010530,8.079053E-1,1.222117E+0
9/5/2021  23:48:36.011530,9.639906E-1,1.198422E+0
9/5/2021  23:48:36.012530,8.122575E-1,1.279960E+0
9/5/2021  23:48:36.013530,8.048895E-1,1.331843E+0
9/5/2021  23:48:36.014530,9.254238E-1,1.335595E+0
